season,season_id,school_id,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2017,12560,164,416.0,301,101,14,0,1,29,13,37,0,0.9663461538461539,0.4482758620689655
2017,12560,165,469.0,340,95,34,0,0,23,2,13,0,0.9275053304904051,0.08695652173913043
2017,12560,166,916.0,666,212,38,0,10,70,8,40,0,0.9585152838427947,0.11428571428571428
2017,12560,167,171.0,149,19,3,0,0,8,5,12,0,0.9824561403508771,0.625
2017,12560,168,137.0,93,50,4,0,0,19,10,1,0,0.9727891156462585,0.5263157894736842
2017,12560,169,1218.0,983,219,16,0,9,45,28,41,0,0.986863711001642,0.6222222222222222
2017,12560,170,532.0,387,124,21,0,3,44,19,36,0,0.9605263157894737,0.4318181818181818
2017,12560,172,30.0,21,8,1,0,0,12,3,0,0,0.9666666666666667,0.25
2017,12560,173,181.0,73,103,5,0,0,0,0,16,0,0.9723756906077348,
2017,12560,174,233.0,336,166,9,0,0,1,0,29,0,0.9823874755381604,0.0
2017,12560,175,386.0,297,68,21,0,0,5,1,3,0,0.9455958549222798,0.2
2017,12560,177,116.0,109,55,4,0,0,20,14,3,0,0.9761904761904762,0.7
2017,12560,178,788.0,553,194,41,0,7,48,26,26,0,0.9479695431472082,0.5416666666666666
2017,12560,179,381.0,318,148,21,1,0,54,17,15,0,0.9568788501026694,0.3148148148148148
2017,12560,180,324.0,173,139,12,0,1,5,0,33,0,0.9629629629629629,0.0
2017,12560,181,518.0,286,210,22,0,0,39,13,48,0,0.9575289575289575,0.3333333333333333
2017,12560,182,205.0,60,129,16,0,0,3,0,17,0,0.9219512195121952,0.0
2017,12560,185,329.0,96,195,38,0,1,4,2,25,0,0.8844984802431611,0.5
2017,12560,192,756.0,547,181,36,0,4,41,16,32,0,0.9528795811518325,0.3902439024390244
2017,12560,193,515.0,457,48,10,0,7,22,3,30,0,0.9805825242718447,0.13636363636363635
2017,12560,195,558.0,625,466,33,0,2,12,6,42,0,0.9706405693950177,0.5
2017,12560,196,491.0,409,69,13,0,0,11,7,27,0,0.9735234215885947,0.6363636363636364
2017,12560,197,109.0,77,22,10,0,0,16,1,2,0,0.908256880733945,0.0625
2017,12560,198,852.0,635,195,22,0,0,7,1,88,0,0.9741784037558685,0.14285714285714285
2017,12560,200,566.0,307,293,32,1,6,53,28,34,0,0.9493670886075949,0.5283018867924528
2017,12560,201,569.0,522,36,11,0,0,5,3,58,0,0.9806678383128296,0.6
2017,12560,202,53.0,14,34,5,0,0,5,1,0,0,0.9056603773584906,0.2
2017,12560,203,20.0,4,15,1,0,0,11,5,2,0,0.95,0.45454545454545453
2017,12560,204,40.0,10,25,5,0,0,14,6,2,0,0.875,0.42857142857142855
2017,12560,205,531.0,293,207,31,0,3,53,22,27,0,0.9416195856873822,0.41509433962264153
2017,12560,206,227.0,85,129,13,0,0,18,2,19,0,0.9427312775330396,0.1111111111111111
2017,12560,211,389.0,313,282,18,0,0,19,6,31,0,0.9706362153344209,0.3157894736842105
2017,12560,212,832.0,680,612,52,0,4,73,17,84,0,0.9613095238095238,0.2328767123287671
2017,12560,214,295.0,242,40,13,1,9,38,10,9,0,0.9559322033898305,0.2631578947368421
2017,12560,216,216.0,183,29,4,0,0,5,3,17,1,0.9814814814814815,0.6
2017,12560,217,134.0,62,103,17,0,0,10,1,10,0,0.9065934065934066,0.1
2017,12560,218,367.0,326,174,33,0,5,54,3,13,0,0.9380863039399625,0.05555555555555555
2017,12560,219,662.0,432,204,26,0,0,15,5,38,0,0.9607250755287009,0.3333333333333333
2017,12560,220,283.0,245,28,10,0,0,4,1,14,0,0.9646643109540636,0.25
2017,12560,221,254.0,116,113,25,0,0,21,10,16,0,0.9015748031496063,0.47619047619047616
2017,12560,222,372.0,332,33,7,0,0,25,1,19,0,0.9811827956989247,0.04
2017,12560,225,1057.0,678,327,52,0,5,42,4,78,0,0.9508041627246925,0.09523809523809523
2017,12560,227,42.0,36,4,2,0,0,3,0,0,0,0.9523809523809523,0.0
2017,12560,228,243.0,133,93,17,0,3,19,10,19,0,0.9300411522633745,0.5263157894736842
2017,12560,229,470.0,300,154,16,1,2,24,7,27,0,0.9659574468085106,0.2916666666666667
2017,12560,230,20.0,6,12,2,0,0,5,2,3,0,0.9,0.4
2017,12560,231,858.0,651,188,19,1,0,11,8,36,0,0.9778554778554779,0.7272727272727273
2017,12560,233,570.0,383,155,32,0,3,15,3,34,0,0.9438596491228071,0.2
2017,12560,234,620.0,417,182,21,0,1,3,2,22,0,0.9661290322580646,0.6666666666666666
2017,12560,235,729.0,414,288,27,0,0,15,11,66,0,0.9629629629629629,0.7333333333333333
2017,12560,236,441.0,348,87,6,0,9,28,18,6,0,0.9863945578231292,0.6428571428571429
2017,12560,239,287.0,203,387,31,1,5,46,25,35,2,0.9500805152979066,0.5434782608695652
2017,12560,241,588.0,506,67,15,0,0,19,6,33,0,0.9744897959183674,0.3157894736842105
2017,12560,242,362.0,163,172,27,0,0,8,1,35,0,0.925414364640884,0.125
2017,12560,244,12.0,1,15,2,0,0,8,2,0,0,0.8888888888888888,0.25
2017,12560,245,205.0,104,203,34,0,0,10,3,8,0,0.9002932551319648,0.3
2017,12560,246,624.0,399,196,29,0,1,53,9,21,0,0.9535256410256411,0.16981132075471697
2017,12560,248,4.0,103,107,0,0,0,4,0,0,0,1.0,0.0
2017,12560,251,592.0,408,163,21,0,0,10,1,46,0,0.964527027027027,0.1
2017,12560,253,1364.0,1095,250,19,0,3,56,13,72,0,0.9860703812316716,0.23214285714285715
2017,12560,254,182.0,145,31,6,0,0,34,8,2,0,0.967032967032967,0.23529411764705882
2017,12560,255,617.0,417,184,16,0,5,24,17,36,0,0.9740680713128039,0.7083333333333334
2017,12560,257,690.0,584,76,30,1,17,90,14,6,0,0.9565217391304348,0.15555555555555556
2017,12560,258,323.0,263,53,7,0,3,29,11,4,0,0.978328173374613,0.3793103448275862
2017,12560,259,16.0,25,11,2,0,0,0,0,0,0,0.9473684210526315,
2017,12560,260,511.0,408,77,26,0,2,10,5,10,0,0.949119373776908,0.5
2017,12560,261,469.0,406,49,14,0,0,3,2,32,0,0.9701492537313433,0.6666666666666666
2017,12560,262,396.0,303,80,13,1,9,43,15,4,0,0.9671717171717171,0.3488372093023256
2017,12560,263,26.0,8,16,2,0,0,15,7,2,0,0.9230769230769231,0.4666666666666667
2017,12560,265,730.0,474,225,31,0,10,65,19,27,2,0.9575342465753425,0.2923076923076923
2017,12560,267,392.0,352,155,5,0,0,10,6,34,0,0.990234375,0.6
2017,12560,268,423.0,332,72,19,2,5,52,12,5,0,0.9550827423167849,0.23076923076923078
2017,12560,269,70.0,44,23,3,0,2,3,0,6,0,0.9571428571428572,0.0
2017,12560,271,171.0,149,19,3,0,0,10,5,2,0,0.9824561403508771,0.5
2017,12560,272,184.0,139,36,9,0,0,0,0,4,0,0.9510869565217391,
2017,12560,275,1.0,0,0,1,0,0,0,0,0,0,0.0,
2017,12560,276,249.0,163,222,20,0,0,17,5,32,0,0.9506172839506173,0.29411764705882354
2017,12560,277,251.0,87,147,17,0,0,8,3,16,0,0.9322709163346613,0.375
2017,12560,278,793.0,555,211,27,0,0,22,13,52,2,0.9659520807061791,0.5909090909090909
2017,12560,279,4.0,4,0,0,0,0,0,0,0,0,1.0,
2017,12560,280,282.0,144,119,19,0,3,12,8,10,0,0.9326241134751773,0.6666666666666666
2017,12560,281,691.0,486,173,32,0,0,29,6,38,0,0.9536903039073806,0.20689655172413793
2017,12560,283,923.0,703,192,28,0,7,76,15,36,0,0.9696641386782232,0.19736842105263158
2017,12560,285,5.0,3,1,1,0,0,6,7,0,0,0.8,1.1666666666666667
2017,12560,286,200.0,471,603,44,0,0,5,1,50,0,0.960644007155635,0.2
2017,12560,287,756.0,392,334,30,0,0,10,8,80,0,0.9603174603174603,0.8
2017,12560,288,460.0,359,88,13,0,0,15,8,41,0,0.9717391304347827,0.5333333333333333
2017,12560,296,601.0,368,216,17,1,6,45,14,23,0,0.9717138103161398,0.3111111111111111
2017,12560,297,385.0,240,127,18,0,3,57,23,11,0,0.9532467532467532,0.40350877192982454
2017,12560,299,520.0,419,86,15,0,9,45,7,22,0,0.9711538461538461,0.15555555555555556
2017,12560,300,517.0,401,286,18,0,0,19,6,54,0,0.9744680851063829,0.3157894736842105
2017,12560,301,236.0,186,48,2,1,4,32,15,1,0,0.9915254237288136,0.46875
2017,12560,302,738.0,477,246,15,0,2,30,17,44,0,0.9796747967479674,0.5666666666666667
2017,12560,303,509.0,245,232,32,0,1,33,6,36,0,0.93713163064833,0.18181818181818182
2017,12560,305,1229.0,764,434,31,0,12,54,15,60,0,0.9747762408462164,0.2777777777777778
2017,12560,306,1595.0,1156,413,26,0,7,45,12,114,0,0.9836990595611286,0.26666666666666666
2017,12560,308,362.0,122,213,27,0,1,7,1,30,0,0.925414364640884,0.14285714285714285
2017,12560,309,477.0,306,142,29,0,0,18,5,30,0,0.939203354297694,0.2777777777777778
2017,12560,310,580.0,315,237,28,1,2,36,10,47,0,0.9517241379310345,0.2777777777777778
2017,12560,312,1377.0,1076,282,19,1,9,41,23,110,0,0.9862018881626725,0.5609756097560976
2017,12560,313,26.0,2,36,8,0,0,12,5,0,0,0.8260869565217391,0.4166666666666667
2017,12560,314,80.0,48,27,5,1,3,24,4,0,0,0.9375,0.16666666666666666
2017,12560,315,167.0,49,104,14,0,0,3,7,14,0,0.9161676646706587,2.3333333333333335
2017,12560,316,115.0,32,66,17,0,0,0,0,2,0,0.8521739130434782,
2017,12560,317,280.0,207,66,7,0,9,46,12,11,0,0.975,0.2608695652173913
2017,12560,319,403.0,282,106,15,0,0,1,6,21,0,0.9627791563275434,6.0
2017,12560,320,256.0,778,911,33,1,20,50,22,50,0,0.980836236933798,0.44
2017,12560,321,502.0,422,57,23,0,0,20,3,28,0,0.954183266932271,0.15
2017,12560,322,413.0,524,303,18,0,1,13,11,40,0,0.978698224852071,0.8461538461538461
2017,12560,325,1015.0,678,266,71,0,10,88,21,46,0,0.9300492610837439,0.23863636363636365
2017,12560,326,938.0,735,174,29,0,12,42,16,40,0,0.9690831556503199,0.38095238095238093
2017,12560,327,700.0,380,291,29,0,0,15,5,46,0,0.9585714285714285,0.3333333333333333
2017,12560,328,373.0,209,154,10,0,0,3,1,30,0,0.9731903485254692,0.3333333333333333
2017,12560,329,427.0,299,119,9,0,3,40,14,26,0,0.9789227166276346,0.35
2017,12560,330,170.0,66,95,9,0,0,7,3,6,0,0.9470588235294117,0.42857142857142855
2017,12560,331,512.0,426,78,8,0,5,36,12,6,0,0.984375,0.3333333333333333
2017,12560,333,548.0,517,21,10,0,0,2,0,24,0,0.9817518248175182,0.0
2017,12560,334,403.0,322,64,17,0,2,5,6,3,0,0.9578163771712159,1.2
2017,12560,335,134.0,95,32,7,0,1,39,12,1,0,0.9477611940298507,0.3076923076923077
2017,12560,336,330.0,284,35,11,0,2,39,15,4,0,0.9666666666666667,0.38461538461538464
2017,12560,339,68.0,45,124,11,0,0,5,1,3,0,0.9388888888888889,0.2
