R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,score,player_id,division
2,2,2,0,0,2,0,1,1,1,1,0,0,,0,0,0,0,03/04/2023,home,16340,500,Northeastern,9,True,8,13,-5,loss,2393238,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
1,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,03/05/2023,home,16340,500,Northeastern,9,True,7,8,-1,loss,2393567,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
0,3,1,0,0,1,0,1,0,0,0,1,0,,0,0,0,0,03/07/2023,home,16340,545,Pittsburgh,9,True,2,1,1,win,2393964,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
3,3,2,0,0,8,2,4,2,0,0,0,0,,0,0,0,0,02/03/2023,home,16340,30198,Cal St. San Marcos,9,True,13,5,8,win,2389708,30220,2671374.0,2023,0.0,0.0,,2671374.0,2.0
2,3,0,0,0,0,0,0,2,0,0,0,2,,0,0,0,0,02/04/2023,away,16340,30198,Cal St. San Marcos,9,True,8,9,-1,loss,2389778,30220,2671374.0,2023,0.0,0.0,,2671374.0,2.0
1,2,0,0,0,0,0,1,1,0,0,0,1,,0,0,0,0,02/04/2023,away,16340,30198,Cal St. San Marcos,9,True,6,0,6,win,2408097,30220,2671374.0,2023,0.0,0.0,,2671374.0,2.0
2,5,2,1,0,3,0,0,0,0,0,0,3,,0,0,0,0,02/09/2023,home,16340,413,MSU Denver,9,True,12,2,10,win,2389911,30220,2671374.0,2023,0.0,0.0,,2671374.0,2.0
1,4,3,1,0,7,1,2,1,0,0,0,0,,0,0,0,0,02/10/2023,home,16340,413,MSU Denver,9,True,5,9,-4,loss,2389937,30220,2671374.0,2023,1.0,1.0,,2671374.0,2.0
1,3,1,1,0,2,0,2,0,1,0,0,1,,0,0,0,0,02/10/2023,home,16340,413,MSU Denver,9,True,4,15,-11,loss,2408632,30220,2671374.0,2023,0.0,0.0,,2671374.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/11/2023,home,16340,413,MSU Denver,9,True,5,15,-10,loss,2390008,30220,2671374.0,2023,0.0,0.0,,2671374.0,2.0
0,3,1,0,0,1,0,1,0,0,0,0,1,,0,0,0,0,02/17/2023,away,16340,30146,Azusa Pacific,9,True,1,6,-5,loss,2420022,30220,2671374.0,2023,0.0,0.0,,2671374.0,2.0
