season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,16580,7,2954603.0,1.0,23.0,80,20,22,3,2,1,12,0,3,14,11,0,32,0.0,2,2,0,0.0,1,1.0,12.924897959183673,96,0.275,0.262,0.396,0.475,0.871,82.0,0.112,0.309,22.052,21.256,23.632,0.0,0.514,0.01,0.115,0.146,-0.031,1.273
2024,16580,7,2954611.0,1.0,6.0,23,2,5,1,0,0,3,0,0,0,7,0,6,0.0,1,0,0,0.0,0,0.0,1.5650000000000002,23,0.217,0.043,0.261,0.304,0.565,18.0,0.043,0.312,3.924,3.766,3.872,,0.333,0.0,0.304,0.0,0.304,0.0
2024,16580,7,2954613.0,1.0,2.0,5,0,1,0,0,0,0,0,0,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.2,5,0.2,0.0,0.2,0.2,0.4,-20.0,0.0,0.333,0.464,0.438,0.456,,0.0,0.0,0.4,0.0,0.4,0.0
2024,16580,7,2954625.0,1.0,3.0,7,1,1,0,0,0,1,0,0,0,4,0,1,0.0,0,0,0,0.0,0,0.0,0.14285714285714285,7,0.143,0.0,0.143,0.143,0.286,-43.0,0.0,0.333,0.268,0.242,0.264,,1.0,0.0,0.571,0.0,0.571,0.0
2024,16580,7,2954628.0,1.0,4.0,6,2,1,0,0,0,1,1,0,5,3,0,1,0.0,0,0,0,0.0,0,0.0,1.3018181818181818,11,0.167,1.0,0.545,0.167,0.712,8.0,0.0,0.333,0.546,0.52,0.54,0.0,0.333,0.0,0.273,0.455,-0.182,1.667
2024,16580,7,2954644.0,1.0,23.0,80,9,22,3,0,1,12,0,0,6,17,0,28,3.0,1,5,0,0.0,0,3.0,8.455652173913045,91,0.275,0.15,0.319,0.4,0.719,52.0,0.038,0.339,18.194,18.486,18.892,0.0,0.286,0.011,0.187,0.066,0.121,0.353
2024,16580,7,2954673.0,1.0,4.0,14,1,1,1,0,0,0,0,0,0,8,0,2,0.0,0,0,0,0.0,0,0.0,0.14285714285714285,14,0.071,0.071,0.071,0.214,0.285,-29.0,0.071,0.167,0.666,0.606,0.652,,1.0,0.0,0.571,0.0,0.571,0.0
2024,16580,8,2121684.0,1.0,6.0,18,4,4,2,0,0,5,0,0,2,4,0,6,1.0,0,0,2,0.0,0,1.0,1.5290909090909088,22,0.222,0.222,0.273,0.444,0.717,60.0,0.111,0.25,4.558,4.048,4.136,,0.667,0.0,0.182,0.091,0.091,0.5
2024,16580,8,2303235.0,1.0,11.0,23,6,5,2,1,0,0,0,0,3,4,0,9,0.0,1,0,0,0.0,0,0.0,3.3466666666666662,26,0.217,0.304,0.346,0.522,0.868,91.0,0.217,0.263,6.728,6.516,6.652,,0.667,0.0,0.154,0.115,0.039,0.75
2024,16580,8,2306476.0,1.0,27.0,106,24,34,8,2,5,26,0,0,14,30,0,61,1.0,3,1,2,0.0,0,3.0,25.972698412698414,123,0.321,0.387,0.415,0.717,1.132,156.0,0.132,0.397,47.49,46.104,46.888,0.0,0.413,0.041,0.244,0.114,0.13,0.467
2024,16580,8,2466748.0,1.0,4.0,5,0,1,0,0,0,0,0,0,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.2,5,0.2,0.0,0.2,0.2,0.4,-20.0,0.0,0.333,0.464,0.438,0.456,,0.0,0.0,0.4,0.0,0.4,0.0
2024,16580,8,2476406.0,1.0,21.0,74,23,27,3,2,4,16,4,0,6,6,0,46,1.0,3,0,0,0.0,0,3.0,20.409397590361447,80,0.365,0.392,0.45,0.743,1.193,167.0,0.122,0.359,36.232,35.784,36.368,4.0,0.594,0.05,0.075,0.075,0.0,1.0
2024,16580,8,2476426.0,1.0,6.0,11,2,2,0,0,0,0,0,0,1,4,0,2,0.0,0,0,0,0.0,0,0.0,0.565,12,0.182,0.091,0.25,0.182,0.432,-19.0,0.0,0.286,0.838,0.778,0.816,,0.667,0.0,0.333,0.083,0.25,0.25
2024,16580,8,2478615.0,1.0,20.0,71,15,21,2,0,0,17,0,0,2,6,0,23,1.0,10,1,2,0.0,0,1.0,9.737209302325581,76,0.296,0.056,0.434,0.352,0.786,50.0,0.028,0.313,19.022,17.93,18.36,,0.455,0.0,0.079,0.026,0.053,0.333
2024,16580,8,2496954.0,1.0,27.0,115,27,40,12,1,11,34,10,1,13,32,1,87,5.0,4,0,1,0.0,0,5.0,34.9990977443609,129,0.348,0.6,0.442,0.965,1.407,232.0,0.13,0.397,70.044,69.68,71.38,10.5,0.348,0.085,0.248,0.101,0.147,0.406
2024,16580,8,2659963.0,1.0,6.0,10,0,0,0,0,0,1,0,0,2,5,0,0,0.0,0,0,0,0.0,0,0.0,0.08666666666666667,12,0.0,0.2,0.167,0.0,0.167,-82.0,0.0,0.0,-0.94,-0.98,-0.96,,0.0,0.0,0.417,0.167,0.25,0.4
2024,16580,8,2660085.0,1.0,27.0,93,27,26,5,0,6,18,1,0,19,26,0,49,1.0,3,0,0,0.0,0,1.0,22.368347826086957,112,0.28,0.462,0.429,0.645,1.074,136.0,0.054,0.328,36.492,36.014,36.668,1.7,0.5,0.054,0.232,0.17,0.062,0.731
2024,16580,8,2673351.0,1.0,27.0,103,20,35,6,1,3,24,1,0,16,13,0,52,5.0,6,0,0,0.0,0,5.0,24.01568,119,0.34,0.33,0.479,0.602,1.081,129.0,0.087,0.368,39.006,39.836,40.552,1.5,0.315,0.025,0.109,0.134,-0.025,1.231
2024,16580,8,2813224.0,1.0,15.0,42,9,12,3,0,0,5,0,1,12,15,0,15,0.0,2,1,2,0.0,0,0.0,7.924745762711864,57,0.286,0.333,0.456,0.429,0.885,75.0,0.071,0.414,11.58,10.51,11.38,,0.346,0.0,0.263,0.211,0.052,0.8
2024,16580,8,2954286.0,1.0,27.0,91,26,31,2,0,5,18,4,0,13,23,0,48,1.0,8,0,2,0.0,1,1.0,23.943684210526314,106,0.341,0.374,0.491,0.604,1.095,131.0,0.022,0.4,38.686,37.46,38.14,4.4,0.447,0.047,0.217,0.123,0.094,0.565
