season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2022,15860,164,1.0,1782,1542,342,435,108,13,52,320,39,15,209,349,3,725,23.0,72,16,24,0.0,7,29.0,290.1754804079441,1791,0.282,0.339,0.4,0.582,0.982,120.0,0.095,0.329,557.218,540.404,560.188,44.6,0.437,0.029,0.195,0.117,0.078,0.599
2022,15860,165,1.0,1674,1711,368,483,90,24,30,314,119,26,275,357,1,711,23.0,72,28,23,0.0,12,34.0,296.65156946420103,2037,0.282,0.348,0.407,0.5,0.907,96.0,0.095,0.336,542.114,525.606,552.532,47.9,0.422,0.015,0.175,0.135,0.04,0.77
2022,15860,167,1.0,1080,1244,213,309,67,15,33,185,49,11,159,409,1,505,19.0,30,7,14,0.0,4,22.0,178.30277854195322,1424,0.248,0.316,0.35,0.498,0.848,89.0,0.09,0.338,364.658,356.08,370.34,39.4,0.387,0.023,0.287,0.112,0.175,0.389
2022,15860,169,1.0,1470,1569,301,428,105,11,33,271,45,20,228,408,12,654,12.0,81,19,25,0.0,5,22.0,268.2395317377732,1841,0.273,0.305,0.4,0.512,0.912,99.0,0.088,0.343,506.856,480.992,503.424,38.1,0.381,0.018,0.222,0.124,0.098,0.559
2022,15860,172,1.0,1247,1527,308,446,95,24,35,282,48,10,168,270,2,694,31.0,39,17,23,0.0,3,37.0,257.83165727170234,1735,0.292,0.297,0.376,0.555,0.931,109.0,0.109,0.33,520.87,508.152,524.044,40.5,0.442,0.02,0.156,0.097,0.059,0.622
2022,15860,173,1.0,1960,1953,483,592,144,16,86,448,70,11,331,494,5,1026,23.0,102,23,23,0.0,3,27.0,463.4476973684211,2330,0.303,0.422,0.44,0.651,1.091,146.0,0.098,0.362,810.188,788.102,809.144,77.2,0.423,0.037,0.212,0.142,0.07,0.67
2022,15860,175,1.0,1700,1404,227,347,64,4,36,211,56,23,175,400,6,527,9.0,70,11,11,0.0,11,20.0,197.46197486535007,1601,0.247,0.276,0.37,0.449,0.819,77.0,0.054,0.318,387.67,371.724,394.528,43.8,0.344,0.022,0.25,0.109,0.141,0.438
2022,15860,178,1.0,1248,1443,293,391,82,10,33,261,65,13,262,343,7,592,22.0,56,12,21,0.0,8,32.0,252.8197324414716,1738,0.271,0.357,0.408,0.497,0.905,95.0,0.078,0.329,447.136,430.744,447.648,43.8,0.385,0.019,0.197,0.151,0.046,0.764
2022,15860,180,1.0,1326,1166,208,322,69,10,38,200,23,9,135,213,1,525,19.0,17,9,13,0.0,0,23.0,187.8234029850746,1323,0.276,0.302,0.358,0.551,0.909,106.0,0.085,0.306,382.406,373.208,386.076,28.7,0.39,0.029,0.161,0.102,0.059,0.634
2022,15860,193,1.0,1836,1732,295,447,100,3,68,275,54,6,218,433,5,757,33.0,77,10,17,0.0,10,39.0,284.91690360272634,1977,0.258,0.333,0.375,0.536,0.911,104.0,0.063,0.304,566.216,553.63,568.38,60.2,0.337,0.034,0.219,0.11,0.109,0.503
