App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
0,0.0,0.1,0.0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,3,3,1,0,0.0,0,0,0,0,0,3,0,04/17/2017,away,12560,260,Gonzaga,9,True,4,9,-5,loss,220448,754,1756204,2017,,,
0,0.0,0.2,0.0,2,1,1,1,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,13.0,0,1,0,0,0,5,0,04/23/2017,home,12560,756,Washington,9,True,1,7,-6,loss,222147,754,1756204,2017,,,
0,0.0,2.0,0.0,2,0,0,2,4,0,10,8,0,0,0,0,1,0,0,0,0,0,0,0.0,1,1,0,0,0,2,1,02/18/2017,neutral,12560,7,Alabama St.,9,True,3,2,1,win,206246,47,1639833,2017,,,
0,0.0,1.0,0.0,1,1,0,0,0,0,5,5,1,0,0,0,0,0,0,3,3,0,0,18.0,2,1,0,0,0,4,0,02/19/2017,neutral,12560,367,Louisville,9,True,4,10,-6,loss,206578,47,1639833,2017,,,
0,0.0,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,13.0,2,1,0,0,0,2,0,02/24/2017,away,12560,149,Coastal Carolina,9,True,0,1,-1,loss,207037,47,1639833,2017,,,
0,0.0,1.0,0.0,1,2,2,2,1,0,6,3,0,0,0,0,3,0,1,0,0,0,1,32.0,2,0,0,0,0,2,0,02/26/2017,neutral,12560,768,West Virginia,9,True,1,4,-3,loss,207861,47,1639833,2017,,,
0,0.0,3.0,0.0,1,0,0,0,2,0,10,10,0,0,0,0,2,0,0,0,0,0,0,42.0,4,2,0,0,1,2,0,03/03/2017,neutral,12560,739,Villanova,9,True,3,1,2,win,208449,47,1639833,2017,,,
0,0.0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,3,1,03/07/2017,neutral,12560,67,Boston College,9,True,4,1,3,win,209665,47,1639833,2017,,,
0,0.0,1.2,0.0,4,2,2,1,1,0,9,7,0,1,0,0,0,0,0,0,0,0,1,32.0,1,2,0,0,0,2,0,03/10/2017,away,12560,528,Oregon St.,9,True,1,5,-4,loss,210245,47,1639833,2017,,,
0,0.0,1.2,0.0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,2,0,0,0,11.0,2,0,0,0,1,3,1,03/18/2017,home,12560,175,Dayton,9,True,4,3,1,win,212284,47,1639833,2017,,,
0,0.0,2.0,0.0,3,2,1,2,3,0,11,9,0,0,0,1,0,0,0,0,0,0,0,50.0,0,3,0,0,0,2,0,03/24/2017,home,12560,331,Kent St.,9,True,5,6,-1,loss,213484,47,1639833,2017,,,
